Hora_Anual,DNI_W_m2,H2_kg
721,0.0,0.0
722,0.0,0.0
723,0.0,0.0
724,0.0,0.0
725,0.0,0.0
726,0.0,0.0
727,0.0,0.0
728,277.87,0.4286
729,555.41,0.4286
730,786.71,0.4286
731,952.51,0.4286
732,1039.02,0.4286
733,1039.02,0.4286
734,952.51,0.4286
735,786.71,0.4286
736,555.41,0.4286
737,277.87,0.4286
738,0.0,0.0
739,0.0,0.0
740,0.0,0.0
741,0.0,0.0
742,0.0,0.0
743,0.0,0.0
744,0.0,0.0
745,0.0,0.0
746,0.0,0.0
747,0.0,0.0
748,0.0,0.0
749,0.0,0.0
750,0.0,0.0
751,0.0,0.0
752,279.91,0.4286
753,556.8,0.4286
754,787.49,0.4286
755,952.81,0.4286
756,1039.05,0.4286
757,1039.05,0.4286
758,952.81,0.4286
759,787.49,0.4286
760,556.8,0.4286
761,279.91,0.4286
762,0.0,0.0
763,0.0,0.0
764,0.0,0.0
765,0.0,0.0
766,0.0,0.0
767,0.0,0.0
768,0.0,0.0
769,0.0,0.0
770,0.0,0.0
771,0.0,0.0
772,0.0,0.0
773,0.0,0.0
774,0.0,0.0
775,0.0,0.0
776,281.97,0.4286
777,558.22,0.4286
778,788.27,0.4286
779,953.11,0.4286
780,1039.08,0.4286
781,1039.08,0.4286
782,953.11,0.4286
783,788.27,0.4286
784,558.22,0.4286
785,281.97,0.4286
786,0.0,0.0
787,0.0,0.0
788,0.0,0.0
789,0.0,0.0
790,0.0,0.0
791,0.0,0.0
792,0.0,0.0
793,0.0,0.0
794,0.0,0.0
795,0.0,0.0
796,0.0,0.0
797,0.0,0.0
798,0.0,0.0
799,0.0,0.0
800,284.07,0.4286
801,559.65,0.4286
802,789.07,0.4286
803,953.41,0.4286
804,1039.12,0.4286
805,1039.12,0.4286
806,953.41,0.4286
807,789.07,0.4286
808,559.65,0.4286
809,284.07,0.4286
810,0.0,0.0
811,0.0,0.0
812,0.0,0.0
813,0.0,0.0
814,0.0,0.0
815,0.0,0.0
816,0.0,0.0
817,0.0,0.0
818,0.0,0.0
819,0.0,0.0
820,0.0,0.0
821,0.0,0.0
822,0.0,0.0
823,0.0,0.0
824,286.2,0.4286
825,561.11,0.4286
826,789.88,0.4286
827,953.72,0.4286
828,1039.15,0.4286
829,1039.15,0.4286
830,953.72,0.4286
831,789.88,0.4286
832,561.11,0.4286
833,286.2,0.4286
834,0.0,0.0
835,0.0,0.0
836,0.0,0.0
837,0.0,0.0
838,0.0,0.0
839,0.0,0.0
840,0.0,0.0
841,0.0,0.0
842,0.0,0.0
843,0.0,0.0
844,0.0,0.0
845,0.0,0.0
846,0.0,0.0
